bias_strength,seed,offline_reliance,closed_loop_divergence,in_dist_perf,ood_perf,drop
0.6,0,0.10050856,0.2792931741739861,0.8612722838227367,0.8613957403049696,0.00012345648223288652
0.6,1,0.057992768,0.17152790665776263,0.8615703536791854,0.8614875949189709,-8.275876021457407e-05
0.6,2,0.091201894,0.2757818131728355,0.8621761022280378,0.86214746475742,-2.8637470617765004e-05
0.7,0,0.127626,0.3084294731235984,0.8612284050023866,0.8613796482323417,0.0001512432299550781
0.7,1,0.0664763,0.2019025057943892,0.8616058233926256,0.8615648692843716,-4.095410825399881e-05
0.7,2,0.12015698,0.284276552940046,0.86211324089294,0.8622585579386925,0.00014531704575260207
0.8,0,0.16861022,0.3582855845991282,0.8612682913015655,0.8615572291294914,0.00028893782792593914
0.8,1,0.0887332,0.228631029092426,0.8616346362121093,0.861605876552915,-2.875965919435508e-05
0.8,2,0.12595114,0.28097916365295944,0.8620414244104724,0.8621197864515469,7.836204107447564e-05
0.9,0,0.23365211,0.38366244826775847,0.861087657891188,0.8616390495082611,0.0005513916170730715
0.9,1,0.15452106,0.3400810682336779,0.8617599189925024,0.8618110907789799,5.117178647751075e-05
0.9,2,0.1892042,0.34807300227506127,0.8620771320587715,0.8623138618625823,0.0002367298038108423
0.95,0,0.26573217,0.44231212892219846,0.8610439179869708,0.8618391920500573,0.0007952740630865485
0.95,1,0.24913001,0.4562325697859378,0.861698750706126,0.8620256733473006,0.00032692264117462067
0.95,2,0.24244565,0.44743051458384564,0.8619254869508356,0.862294928544575,0.0003694415937394169
0.99,0,0.3331953,0.4716407033471225,0.861060465833728,0.8621358327543848,0.001075366920656795
0.99,1,0.343575,0.5634813434635074,0.8616100580498225,0.8622679014502591,0.0006578434004366196
0.99,2,0.34824097,0.5674062969296368,0.8617459359239339,0.8626321767476688,0.0008862408237348962
